20240301 09:00:00,7488.0,181
20240301 09:00:00,7490.0,119
20240301 09:00:01,7490.0,149
20240301 09:00:01,7488.0,35
20240301 09:00:02,7488.0,71
20240301 09:00:02,7486.0,213
20240301 09:00:03,7486.0,170
20240301 09:00:03,7486.0,62
20240301 09:00:04,7488.0,28
20240301 09:00:04,7488.0,22
20240301 09:00:05,7488.0,44
20240301 09:00:05,7488.0,23
20240301 09:00:06,7488.0,26
20240301 09:00:06,7486.0,33
20240301 09:00:07,7486.0,26
20240301 09:00:07,7484.0,73
20240301 09:00:08,7484.0,45
20240301 09:00:08,7486.0,13
20240301 09:00:09,7484.0,13
20240301 09:00:09,7484.0,32
20240301 09:00:10,7486.0,159
20240301 09:00:10,7486.0,107
20240301 09:00:11,7488.0,27
20240301 09:00:11,7488.0,3
20240301 09:00:12,7488.0,21
20240301 09:00:12,7490.0,18
20240301 09:00:13,7488.0,11
20240301 09:00:13,7488.0,12
20240301 09:00:14,7490.0,1
20240301 09:00:14,7490.0,14
20240301 09:00:15,7488.0,93
20240301 09:00:15,7488.0,22
20240301 09:00:16,7490.0,10
20240301 09:00:16,7490.0,6
20240301 09:00:17,7490.0,4
20240301 09:00:17,7490.0,57
20240301 09:00:18,7488.0,2
20240301 09:00:18,7490.0,6
20240301 09:00:19,7490.0,67
20240301 09:00:19,7492.0,5
20240301 09:00:20,7490.0,35
20240301 09:00:20,7490.0,13
20240301 09:00:21,7490.0,14
20240301 09:00:21,7490.0,2
20240301 09:00:22,7488.0,22
20240301 09:00:22,7490.0,15
20240301 09:00:23,7490.0,162
20240301 09:00:23,7492.0,18
20240301 09:00:24,7488.0,22
20240301 09:00:25,7490.0,8
20240301 09:00:26,7488.0,29
20240301 09:00:26,7490.0,25
20240301 09:00:27,7490.0,35
20240301 09:00:27,7490.0,2
20240301 09:00:28,7490.0,10
20240301 09:00:28,7492.0,24
20240301 09:00:29,7490.0,5
20240301 09:00:29,7490.0,21
20240301 09:00:30,7488.0,5
20240301 09:00:30,7490.0,70
20240301 09:00:31,7488.0,51
20240301 09:00:31,7490.0,2
20240301 09:00:32,7488.0,5
20240301 09:00:32,7490.0,3
20240301 09:00:33,7490.0,7
20240301 09:00:33,7488.0,62
20240301 09:00:34,7488.0,30
20240301 09:00:34,7488.0,1
20240301 09:00:35,7488.0,6
20240301 09:00:35,7488.0,1
20240301 09:00:36,7486.0,5
20240301 09:00:37,7488.0,10
20240301 09:00:37,7486.0,93
20240301 09:00:38,7486.0,45
20240301 09:00:38,7486.0,63
20240301 09:00:39,7486.0,71
20240301 09:00:39,7484.0,11
20240301 09:00:40,7484.0,2
20240301 09:00:41,7484.0,2
20240301 09:00:41,7484.0,5
20240301 09:00:42,7486.0,63
20240301 09:00:43,7486.0,52
20240301 09:00:43,7486.0,16
20240301 09:00:44,7488.0,4
20240301 09:00:44,7486.0,14
20240301 09:00:45,7486.0,45
20240301 09:00:46,7486.0,4
20240301 09:00:46,7486.0,5
20240301 09:00:47,7486.0,7
20240301 09:00:47,7486.0,115
20240301 09:00:48,7486.0,30
20240301 09:00:48,7488.0,2
20240301 09:00:49,7486.0,1
20240301 09:00:50,7488.0,80
20240301 09:00:51,7486.0,17
20240301 09:00:51,7486.0,12
20240301 09:00:52,7488.0,2
20240301 09:00:53,7488.0,5
20240301 09:00:53,7488.0,37
20240301 09:00:54,7488.0,11
20240301 09:00:54,7488.0,8
20240301 09:00:55,7488.0,22
20240301 09:00:55,7486.0,12
20240301 09:00:56,7488.0,3
20240301 09:00:57,7488.0,5
20240301 09:00:57,7488.0,35
20240301 09:00:58,7486.0,2
20240301 09:00:58,7486.0,2
20240301 09:00:59,7488.0,67
20240301 09:00:59,7488.0,3
20240301 09:01:00,7488.0,1
20240301 09:01:00,7488.0,28
20240301 09:01:01,7488.0,1
20240301 09:01:02,7488.0,7
20240301 09:01:02,7486.0,12
20240301 09:01:03,7488.0,2
20240301 09:01:03,7488.0,10
20240301 09:01:04,7488.0,1
20240301 09:01:05,7486.0,4
20240301 09:01:05,7486.0,42
20240301 09:01:06,7486.0,135
20240301 09:01:06,7486.0,7
20240301 09:01:07,7486.0,6
20240301 09:01:07,7486.0,13
20240301 09:01:08,7486.0,8
20240301 09:01:09,7486.0,3
20240301 09:01:09,7484.0,6
20240301 09:01:10,7484.0,11
20240301 09:01:10,7484.0,11
20240301 09:01:11,7486.0,33
20240301 09:01:11,7484.0,2
20240301 09:01:12,7486.0,3
20240301 09:01:12,7484.0,5
20240301 09:01:13,7484.0,20
20240301 09:01:14,7484.0,21
20240301 09:01:14,7484.0,1
20240301 09:01:15,7484.0,2
20240301 09:01:15,7484.0,11
20240301 09:01:16,7484.0,5
20240301 09:01:16,7484.0,10
20240301 09:01:17,7484.0,1
20240301 09:01:17,7484.0,15
20240301 09:01:18,7486.0,72
20240301 09:01:18,7486.0,30
20240301 09:01:19,7484.0,69
20240301 09:01:19,7484.0,118
20240301 09:01:20,7484.0,9
20240301 09:01:20,7484.0,26
20240301 09:01:21,7486.0,11
20240301 09:01:21,7484.0,38
20240301 09:01:22,7484.0,1
20240301 09:01:22,7486.0,100
20240301 09:01:23,7488.0,108
20240301 09:01:23,7488.0,20
20240301 09:01:24,7488.0,4
20240301 09:01:24,7486.0,95
20240301 09:01:26,7488.0,1
20240301 09:01:26,7486.0,9
20240301 09:01:27,7488.0,1
20240301 09:01:27,7486.0,2
20240301 09:01:28,7486.0,4
20240301 09:01:28,7486.0,3
20240301 09:01:29,7486.0,1
20240301 09:01:29,7486.0,3
20240301 09:01:30,7488.0,11
20240301 09:01:30,7488.0,190
20240301 09:01:31,7488.0,38
20240301 09:01:31,7488.0,89
20240301 09:01:32,7488.0,1
20240301 09:01:33,7488.0,13
20240301 09:01:33,7490.0,22
20240301 09:01:34,7488.0,7
20240301 09:01:35,7490.0,2
20240301 09:01:35,7488.0,4
20240301 09:01:36,7490.0,23
20240301 09:01:36,7490.0,19
20240301 09:01:37,7490.0,2
20240301 09:01:37,7488.0,22
20240301 09:01:38,7490.0,16
20240301 09:01:38,7490.0,3
20240301 09:01:39,7490.0,1
20240301 09:01:40,7488.0,10
20240301 09:01:40,7488.0,24
20240301 09:01:41,7490.0,17
20240301 09:01:41,7490.0,1
20240301 09:01:42,7488.0,1
20240301 09:01:43,7490.0,7
20240301 09:01:44,7490.0,5
20240301 09:01:44,7490.0,14
20240301 09:01:45,7488.0,2
20240301 09:01:45,7488.0,2
20240301 09:01:46,7488.0,2
20240301 09:01:46,7490.0,2
20240301 09:01:47,7488.0,2
20240301 09:01:47,7490.0,11
20240301 09:01:48,7490.0,2
20240301 09:01:48,7490.0,2
20240301 09:01:49,7490.0,1
20240301 09:01:49,7488.0,4
20240301 09:01:50,7490.0,10
20240301 09:01:50,7490.0,6
20240301 09:01:51,7490.0,1
20240301 09:01:51,7490.0,2
20240301 09:01:52,7490.0,1
20240301 09:01:53,7490.0,19
20240301 09:01:54,7488.0,1
20240301 09:01:54,7488.0,2
20240301 09:01:55,7488.0,2
20240301 09:01:55,7488.0,1
20240301 09:01:56,7488.0,1
20240301 09:01:58,7488.0,1
20240301 09:01:58,7488.0,4
20240301 09:01:59,7490.0,1
20240301 09:02:00,7488.0,5
20240301 09:02:00,7488.0,1
20240301 09:02:01,7490.0,6
20240301 09:02:02,7490.0,8
20240301 09:02:02,7488.0,1
20240301 09:02:03,7488.0,11
20240301 09:02:03,7488.0,138
20240301 09:02:04,7486.0,10
20240301 09:02:04,7486.0,1
20240301 09:02:05,7486.0,2
20240301 09:02:05,7488.0,26
20240301 09:02:06,7488.0,32
20240301 09:02:07,7486.0,2
20240301 09:02:08,7486.0,2
20240301 09:02:08,7486.0,2
20240301 09:02:09,7486.0,16
20240301 09:02:09,7486.0,20
20240301 09:02:11,7486.0,2
20240301 09:02:11,7486.0,18
20240301 09:02:12,7486.0,13
20240301 09:02:12,7486.0,12
20240301 09:02:13,7488.0,13
20240301 09:02:13,7486.0,100
20240301 09:02:14,7486.0,2
20240301 09:02:14,7486.0,1
20240301 09:02:15,7486.0,1
20240301 09:02:15,7488.0,1
20240301 09:02:16,7486.0,2
20240301 09:02:16,7486.0,21
20240301 09:02:17,7486.0,15
20240301 09:02:18,7486.0,4
20240301 09:02:18,7486.0,2
20240301 09:02:19,7484.0,50
20240301 09:02:20,7484.0,30
20240301 09:02:21,7484.0,5
20240301 09:02:21,7484.0,4
20240301 09:02:22,7484.0,7
20240301 09:02:22,7486.0,11
20240301 09:02:23,7484.0,6
20240301 09:02:24,7486.0,10
20240301 09:02:24,7486.0,122
20240301 09:02:25,7486.0,70
20240301 09:02:25,7486.0,5
20240301 09:02:26,7486.0,6
20240301 09:02:26,7486.0,7
20240301 09:02:27,7488.0,204
20240301 09:02:27,7488.0,24
20240301 09:02:28,7490.0,33
20240301 09:02:28,7488.0,1
20240301 09:02:29,7488.0,2
20240301 09:02:29,7488.0,1
20240301 09:02:30,7488.0,98
20240301 09:02:30,7488.0,1
20240301 09:02:31,7486.0,16
20240301 09:02:31,7486.0,11
20240301 09:02:32,7486.0,1
20240301 09:02:32,7488.0,6
20240301 09:02:34,7486.0,6
20240301 09:02:35,7488.0,1
20240301 09:02:36,7486.0,7
20240301 09:02:36,7488.0,94
20240301 09:02:37,7488.0,75
20240301 09:02:37,7488.0,97
20240301 09:02:38,7488.0,8
20240301 09:02:38,7488.0,3
20240301 09:02:39,7488.0,11
20240301 09:02:39,7488.0,9
20240301 09:02:40,7488.0,1
20240301 09:02:40,7488.0,19
20240301 09:02:41,7488.0,8
20240301 09:02:41,7488.0,5
20240301 09:02:42,7488.0,13
20240301 09:02:44,7488.0,18
20240301 09:02:45,7488.0,11
20240301 09:02:47,7488.0,6
20240301 09:02:47,7488.0,5
20240301 09:02:48,7486.0,1
20240301 09:02:48,7488.0,1
20240301 09:02:49,7488.0,1
20240301 09:02:50,7488.0,1
20240301 09:02:51,7486.0,20
20240301 09:02:52,7486.0,4
20240301 09:02:53,7486.0,152
20240301 09:02:54,7486.0,1
20240301 09:02:54,7486.0,2
20240301 09:02:56,7486.0,4
20240301 09:02:57,7486.0,1
20240301 09:02:57,7486.0,2
20240301 09:02:58,7486.0,31
20240301 09:02:59,7486.0,3
20240301 09:02:59,7486.0,4
20240301 09:03:00,7488.0,2
20240301 09:03:00,7488.0,4
20240301 09:03:02,7488.0,5
20240301 09:03:03,7486.0,6
20240301 09:03:03,7488.0,1
20240301 09:03:04,7486.0,4
20240301 09:03:04,7488.0,110
20240301 09:03:05,7488.0,8
20240301 09:03:05,7490.0,3
20240301 09:03:06,7488.0,6
20240301 09:03:06,7488.0,21
20240301 09:03:07,7490.0,166
20240301 09:03:07,7490.0,3
20240301 09:03:08,7492.0,3
20240301 09:03:08,7492.0,1
20240301 09:03:09,7490.0,124
20240301 09:03:09,7490.0,1
20240301 09:03:10,7488.0,30
20240301 09:03:10,7488.0,80
20240301 09:03:11,7488.0,7
20240301 09:03:11,7488.0,2
20240301 09:03:12,7488.0,1
20240301 09:03:12,7488.0,1
20240301 09:03:13,7488.0,1
20240301 09:03:13,7486.0,12
20240301 09:03:14,7488.0,1
20240301 09:03:14,7488.0,3
20240301 09:03:15,7488.0,1
20240301 09:03:16,7486.0,1
20240301 09:03:16,7488.0,1
20240301 09:03:17,7486.0,11
20240301 09:03:17,7488.0,3
20240301 09:03:18,7488.0,2
20240301 09:03:18,7488.0,1
20240301 09:03:19,7486.0,1
20240301 09:03:19,7488.0,1
20240301 09:03:20,7488.0,3
20240301 09:03:21,7488.0,2
20240301 09:03:21,7488.0,3
20240301 09:03:22,7488.0,2
20240301 09:03:22,7488.0,1
20240301 09:03:23,7488.0,2
20240301 09:03:23,7488.0,6
20240301 09:03:24,7488.0,4
20240301 09:03:25,7488.0,55
20240301 09:03:25,7488.0,8
20240301 09:03:26,7488.0,1
20240301 09:03:26,7488.0,1
20240301 09:03:27,7488.0,1
20240301 09:03:27,7490.0,21
20240301 09:03:28,7490.0,59
20240301 09:03:28,7490.0,27
20240301 09:03:29,7490.0,9
20240301 09:03:29,7490.0,8
20240301 09:03:30,7490.0,1
20240301 09:03:30,7490.0,53
20240301 09:03:31,7490.0,38
20240301 09:03:31,7490.0,5
20240301 09:03:32,7490.0,1
20240301 09:03:32,7490.0,89
20240301 09:03:33,7488.0,1
20240301 09:03:33,7488.0,1
20240301 09:03:34,7488.0,1
20240301 09:03:35,7490.0,6
20240301 09:03:36,7490.0,2
20240301 09:03:36,7490.0,4
20240301 09:03:37,7488.0,1
20240301 09:03:38,7490.0,1
20240301 09:03:38,7488.0,2
20240301 09:03:39,7488.0,1
20240301 09:03:40,7490.0,148
20240301 09:03:40,7492.0,2
20240301 09:03:41,7490.0,7
20240301 09:03:41,7492.0,1
20240301 09:03:42,7492.0,2
20240301 09:03:42,7490.0,1
20240301 09:03:43,7490.0,10
20240301 09:03:43,7490.0,5
20240301 09:03:44,7490.0,5
20240301 09:03:44,7490.0,3
20240301 09:03:45,7492.0,4
20240301 09:03:45,7490.0,1
20240301 09:03:46,7492.0,1
20240301 09:03:47,7490.0,1
20240301 09:03:47,7492.0,72
20240301 09:03:48,7492.0,1
20240301 09:03:48,7492.0,1
20240301 09:03:50,7490.0,1
20240301 09:03:50,7490.0,2
20240301 09:03:51,7492.0,5
20240301 09:03:51,7492.0,2
20240301 09:03:52,7494.0,205
20240301 09:03:52,7492.0,35
20240301 09:03:53,7494.0,9
20240301 09:03:53,7494.0,11
20240301 09:03:54,7494.0,10
20240301 09:03:54,7492.0,5
20240301 09:03:55,7494.0,15
20240301 09:03:56,7494.0,2
20240301 09:03:56,7494.0,13
20240301 09:03:57,7494.0,19
20240301 09:03:57,7492.0,1
20240301 09:03:58,7494.0,4
20240301 09:03:58,7492.0,78
20240301 09:03:59,7492.0,11
20240301 09:03:59,7492.0,1
20240301 09:04:00,7492.0,1
20240301 09:04:00,7492.0,3
20240301 09:04:01,7492.0,2
20240301 09:04:01,7492.0,5
20240301 09:04:02,7492.0,4
20240301 09:04:02,7492.0,11
20240301 09:04:03,7492.0,3
20240301 09:04:03,7492.0,6
20240301 09:04:04,7492.0,28
20240301 09:04:04,7492.0,13
20240301 09:04:05,7492.0,18
20240301 09:04:06,7492.0,2
20240301 09:04:07,7494.0,22
20240301 09:04:07,7492.0,7
20240301 09:04:09,7494.0,19
20240301 09:04:10,7492.0,2
20240301 09:04:10,7494.0,51
20240301 09:04:12,7494.0,2
20240301 09:04:12,7492.0,3
20240301 09:04:13,7494.0,4
20240301 09:04:13,7492.0,5
20240301 09:04:14,7494.0,1
20240301 09:04:14,7494.0,1
20240301 09:04:15,7494.0,3
20240301 09:04:15,7492.0,5
20240301 09:04:16,7494.0,11
20240301 09:04:17,7494.0,1
20240301 09:04:18,7492.0,3
20240301 09:04:18,7492.0,2
20240301 09:04:19,7494.0,1
20240301 09:04:19,7492.0,1
20240301 09:04:20,7494.0,2
20240301 09:04:20,7492.0,2
20240301 09:04:21,7492.0,1
20240301 09:04:21,7492.0,2
20240301 09:04:22,7494.0,1
20240301 09:04:22,7494.0,16
20240301 09:04:24,7492.0,106
20240301 09:04:24,7492.0,2
20240301 09:04:25,7492.0,3
20240301 09:04:27,7492.0,9
20240301 09:04:27,7492.0,1
20240301 09:04:29,7496.0,623
20240301 09:04:29,7496.0,66
20240301 09:04:30,7496.0,33
20240301 09:04:30,7498.0,2
20240301 09:04:31,7498.0,67
20240301 09:04:31,7496.0,4
20240301 09:04:32,7496.0,2
20240301 09:04:32,7498.0,13
20240301 09:04:33,7498.0,1
20240301 09:04:33,7496.0,3
20240301 09:04:34,7498.0,11
20240301 09:04:34,7496.0,1
20240301 09:04:35,7498.0,22
20240301 09:04:35,7498.0,5
20240301 09:04:36,7498.0,4
20240301 09:04:36,7496.0,6
20240301 09:04:37,7498.0,118
20240301 09:04:37,7496.0,46
20240301 09:04:38,7496.0,27
20240301 09:04:38,7496.0,36
20240301 09:04:39,7496.0,48
20240301 09:04:39,7496.0,19
20240301 09:04:40,7496.0,9
20240301 09:04:41,7494.0,3
20240301 09:04:41,7494.0,3
20240301 09:04:42,7494.0,58
20240301 09:04:42,7494.0,3
20240301 09:04:43,7496.0,104
20240301 09:04:44,7494.0,76
20240301 09:04:44,7494.0,2
20240301 09:04:45,7496.0,20
20240301 09:04:46,7494.0,1
20240301 09:04:46,7494.0,4
20240301 09:04:47,7496.0,26
20240301 09:04:47,7494.0,10
20240301 09:04:48,7496.0,15
20240301 09:04:49,7496.0,8
20240301 09:04:49,7496.0,4
20240301 09:04:50,7496.0,6
20240301 09:04:50,7494.0,1
20240301 09:04:51,7496.0,8
20240301 09:04:51,7494.0,1
20240301 09:04:52,7496.0,11
20240301 09:04:52,7494.0,11
20240301 09:04:53,7496.0,1
20240301 09:04:53,7496.0,8
20240301 09:04:55,7496.0,53
20240301 09:04:55,7496.0,4
20240301 09:04:56,7496.0,11
20240301 09:04:56,7494.0,4
20240301 09:04:57,7496.0,1
20240301 09:04:57,7496.0,34
20240301 09:04:58,7496.0,79
20240301 09:04:58,7496.0,24
20240301 09:04:59,7496.0,5
20240301 09:04:59,7496.0,1
20240301 09:05:00,7498.0,5
20240301 09:05:00,7498.0,12
20240301 09:05:01,7498.0,6
20240301 09:05:01,7496.0,219
20240301 09:05:02,7496.0,7
20240301 09:05:02,7496.0,56
20240301 09:05:03,7494.0,8
20240301 09:05:03,7496.0,1
20240301 09:05:04,7496.0,6
20240301 09:05:04,7496.0,8
20240301 09:05:05,7496.0,1
20240301 09:05:05,7496.0,3
20240301 09:05:06,7496.0,4
20240301 09:05:06,7496.0,30
20240301 09:05:07,7494.0,2
20240301 09:05:07,7494.0,95
20240301 09:05:08,7494.0,3
20240301 09:05:08,7494.0,3
20240301 09:05:09,7494.0,4
20240301 09:05:09,7494.0,2
20240301 09:05:10,7494.0,44
20240301 09:05:10,7494.0,2
20240301 09:05:11,7494.0,75
20240301 09:05:11,7494.0,20
20240301 09:05:12,7494.0,1
20240301 09:05:14,7496.0,6
20240301 09:05:14,7496.0,109
20240301 09:05:15,7496.0,2
20240301 09:05:15,7496.0,5
20240301 09:05:16,7496.0,3
20240301 09:05:16,7496.0,3
20240301 09:05:17,7496.0,6
